PlayerName,Base.X,Base.y,Base.z,Town.x,Town.y,Town.z
0,-4315,50,7102,220,91,-274
0605,-27718.418807030994,111.0,-25779.852942491496,214.0,87.0,-175.0
137044470,-5473.0,50.0,-13670.0,318.0,96.0,-460.0
13register,19438.0,18.0,-17248.0,326.0,101.0,-463.0
172552211,-23851.967419604094,63.0,20436.193486431068,57.0,95.0,-139.0
2BLF,7382.0,70.0,9909.0,336.0,101.0,-461.0
2bismy,-905.0,43.0,-14227.0,357.0,87.0,-257.0
3yx,-5967.5769988317925,69.0,39153.075959664304,214.0,87.0,-193.0
3yx_is_a_cat,-28924.690987647507,63.0,-29251.763544205234,215.0,87.0,-196.0
771022,28477.77909918421,67.0,8828.862946501977,414.0,89.0,-398.0
798,25270.157236639243,70.0,-26704.917327970812,98.0,88.0,-123.0
9090,-971.0,38.0,19050.0,191.0,88.0,-224.0
90909,17896.0,9.0,-9375.0,402.0,79.0,-467.0
916979338,21322.99623047352,78.0,9496.952856796957,337.0,96.0,-311.0
96cat,3758.0,64.0,-3647.0,185.0,87.0,-206.0
ADcocoa,32863.17625719315,75.0,-29821.145665487464,308.0,91.0,-373.0
AGUMON,11071.308367434975,75.0,25241.08391076486,368.0,88.0,-285.0
ALiKing,370.1285384651142,69.0,25440.51952135193,288.0,96.0,-338.0
AaronXia,347.0,67.0,11503.0,439.0,88.0,-384.0
AbstainZhang,-31412.844745266808,5.0,-13410.247091764792,344.0,95.0,-299.0
Absurd_7,40556.1459973179,69.0,325.0993500669887,305.0,95.0,-411.0
Actually,21377.549045637166,63.0,-16726.705198524556,288.0,93.0,-396.0
AdobeAir,32375.0,21.0,13886.0,357.0,76.0,-454.0
Aetf,19021,24,2623,273,88,-240
Agai,-32712.146668494162,63.0,-26879.847170339774,387.0,96.0,-391.0
Alan,-10241.0,43.0,19830.0,418.0,79.0,-459.0
AlanNEET,21054.0,64.0,-4211.0,353.0,81.0,-459.0
AlexMoon,-18075,60,8966,151,88,-289
Angel,-14920.0,53.0,17215.0,429.0,106.0,-469.0
April,-14562.0,11.0,11574.0,386.0,79.0,-467.0
Archer,29720.90393161237,71.0,-26883.740031949666,399.0,88.0,-257.0
Architecture,6078.596181268097,69.0,-23706.502162393946,486.0,88.0,-437.0
Autumn_BingGan,-37121.0,63.0,-18930.0,223.0,93.0,-276.0
BACs_s,-22173.30000001192,9.0,-17382.69999998808,287.0,98.0,-340.0
BB,7742.0,62.0,18450.0,151.0,87.0,-220.0
BCX,9994.0,11.0,-31187.0,369.0,76.0,-454.0
BIGNEWS,38348.78690593139,68.0625,-4605.673314517483,487.0,88.0,-276.0
BSoD_Ultimate,22307.0,55.0,-12215.0,61.0,94.0,-143.0
B_hui,-27703.0,81.0,5595.0,398.0,84.0,-454.0
Bakakuda,9931.028110195904,69.0,20640.30000001192,502.0,88.0,-402.0
Berserker,23245.0,65.0,26715.0,109.0,87.0,-159.0
Best_Sky,33384.33526604567,75.0,17150.823640505216,518.0,88.0,-421.0
BigDick,-38770.0,64.0,-25758.0,386.0,84.0,-467.0
Black_White__,580.984759264978,88.0,-418.2051412162895,305.0,96.0,-326.0
Black_cat,-31549.175074500108,63.0,-29691.388394054986,278.0,97.0,-311.0
Blade,1700.300000011921,61.0,16616.05283036873,455.0,88.0,-362.0
Blizzard,-3927.0,121.0,-1483.0,199.0,90.0,-195.0
Block_Him,-21170.0,5.0,937.0,375.0,86.0,-469.0
Bob,-18083.0,68.0,8180.0,441.0,74.0,-464.0
Booooo,37066.0,61.0,8443.0,454.0,88.0,-421.0
Brian,24829.65964289048,73.0,-12631.887619513573,245.0,87.0,-166.0
Bright,25776.58404352812,69.0,-23324.61790769062,328.0,91.0,-286.0
Bullet,-29949.0,67.0,-21689.0,115.0,93.0,-74.0
Bystander,-1525.0,62.0,704.0,115.0,98.0,-196.0
CCYZ,-3867.2938706509567,69.0,23694.524592928632,401.0,90.0,-400.0
C_Breaker,-1988,11,-15408,222,88,18
C_man,-23755.624670122757,63.0,20493.176879931045,470.0,88.0,-314.0
Candy,19516.91172061754,68.5,14898.47171803041,224.0,91.0,-225.0
Candy_Sweet,-29388.3654012666,64.0,7224.605981775102,400.0,88.0,-284.0
Canrx_Tu,25088.610977810233,105.0,-18495.112149459743,308.0,91.0,-356.0
CatCat,-33045.46206754142,71.0,-1853.3088836672155,486.0,88.0,-421.0
Cergg,-9895.824796085497,64.0,27902.884973730994,429.0,87.0,-254.0
Chinese_man,20933.0,64.0,-2510.0,486.0,88.0,-292.0
Cho_Wheat,31805.465254624247,11.0,-26861.16763037309,457.0,88.0,-297.0
Chong_zi,-35680.034181278024,86.0,-28937.69999998808,277.0,96.0,-329.0
Clory,37960.23750234613,63.0,27567.450056696976,454.0,88.0,-402.0
Cloud,34609.93788755657,61.0,-12615.702776978444,357.0,88.0,-273.0
Cloud_IIInk,21819.0,72.0,-14646.0,472.0,88.0,-403.0
Cool_Bee,14872.134250267989,11.0,-7322.845304603302,314.0,90.0,-272.0
Coseso,20127.163432818055,68.0,3957.411576028131,356.0,88.0,-243.0
Cybercraft,-11701,67,-704,145,86,-130
DCCCCL,32196.51635872535,80.0,351.0910729066351,340.0,90.0,-301.0
DEE,-2973.0,71.0,12290.0,439.0,108.0,-392.0
DEVILsss,18168.0,90.0,-19402.0,203.0,91.0,31.0
DIEonline,4953.0,68.0,16027.0,386.0,84.0,-459.0
DMDt,5339,43,18249,129,87,-169
DWZ,25776.311069692107,71.0,7680.567757638529,275.0,96.0,-329.0
D_R_W,-33418.29188515109,77.0,-462.74282940431067,301.0,96.0,-397.0
D_xie,-529.6999999880791,58.0,-24304.555329009654,352.0,90.0,-415.0
Da_Ha_,-16840.750281864784,80.0,22025.849191390036,454.0,88.0,-314.0
DaddyShaw,36777.926121265315,63.0,-27791.132673389384,470.0,88.0,-421.0
Dai_mao,-34016.13133746773,71.0,-2008.705716007907,386.0,88.0,-387.0
Daliang,5930.715834337324,68.0,-33085.807756950155,288.0,93.0,-372.0
Dandelion,-27144.0,71.0,-17183.0,231.0,90.0,-237.0
Dangsi,12056.0,57.0,-18846.0,375.0,76.0,-469.0
DantaRix,-1529.6416539637914,70.0,31738.784177969294,306.0,91.0,-334.0
Dashan,19564.0,55.0,6079.0,408.0,74.0,-465.0
Dmon_lz,19871,76,10588,130,87,-184
Doctor,718.0,88.0,-5612.0,320.0,101.0,-463.0
DogDog,21136.54163370013,70.0,-3580.300000011921,330.0,88.0,-243.0
Don,27917.371655799612,77.0,19212.78313639467,311.0,88.0,-231.0
Du_Zun_2333,-6447.953797681461,73.0,-27872.61629964472,358.0,90.0,-425.0
Dubhe,-197.69999998807907,74.0,30804.79626127825,397.0,89.0,-394.0
DutchBook,-29702.0,66.0,24046.0,410.0,79.0,-454.0
Dxzmcjone,-3352.0,39.0,-35499.0,310.0,95.0,-258.0
Dyas_1st,40852.46364762459,70.0,-2039.4537064531628,272.0,94.0,-341.0
EAbaloto,24626.468098802045,68.0,-17184.456801256798,126.0,88.0,-252.0
Eazl,-17547,56,8984,270,91,-258
Eclipse,-10002.29280951923,127.0,0.49923026276960464,357.0,86.0,-467.0
Elysia,28184.698359334605,64.0,-8059.453878099539,305.0,98.0,-304.0
Emya,230.0,71.0,700.0,336.0,91.0,-460.0
EnochNokia,-23733.116695185836,72.0,-5283.062762829502,470.0,88.0,-437.0
Eraty,475.1764439557281,88.0,-380.96331020552503,470.0,88.0,-386.0
F1K2U3,-10452.565259143792,79.0,-10569.244622208136,454.0,88.0,-349.0
F1re_Faker,7254.51218152698,80.0,24634.401873052993,289.0,98.0,-313.0
FATWHITERABBIT,-35302.614726766005,11.0,-28905.427552001474,103.0,87.0,-190.0
Fall,-12603.22188227632,66.0,19491.88123655772,305.0,95.0,-387.0
FallenAengel,-37121.0,63.0,-18930.0,217.0,93.0,-276.0
Feihu,-10114.0,65.0,-12754.0,406.0,74.0,-454.0
Firewolf,2643.8831045968045,88.0,-33579.739865976,7.0,90.0,-221.0
FlandreKoishi,18969.0,12.0,-16597.0,344.0,91.0,-456.0
Flash,24439.14691977736,63.0,2646.6609123899343,357.0,90.0,-421.0
Fleuriste,-1264.0,71.0,9408.0,210.0,95.0,-183.0
Friedegg,-27703.0,81.0,5595.0,398.0,84.0,-454.0
Frostmaki,3205.7976452566118,62.9375,-31748.99196142204,312.0,93.0,-342.0
Fulamite,-27467.45883155621,71.0,-11872.593052213117,355.0,88.0,-283.0
Fzzf323,27175.618090435564,11.0,887.555735757234,291.0,94.0,-310.0
GLaDOS,-11018,64,-19564,77,89,-209
GODonline,13888.0,80.0,11077.0,394.0,84.0,-454.0
GX,7832.0,75.0,-22527.0,353.0,81.0,-467.0
GaiZi233,38270.31048780607,66.0,15240.355260046701,385.0,89.0,-394.0
GarThurion,12509.0,66.0,17070.0,336.0,101.0,-465.0
Get_xyz,33137.923004531374,59.0,-8533.059162815041,303.0,98.0,-346.0
Geyer,-1454.0,67.0,-23783.0,406.0,84.0,-454.0
GrandpaYao,15482.0,68.0,13318.0,250.0,86.0,-128.0
Ground,-10384.0,69.0,-7162.0,336.0,101.0,-469.0
Gu_Dong,-10943.1149346112,79.0,13830.548103753013,330.0,90.0,-206.0
Guangtou,-7209.366583071619,81.0,-14567.33491687095,330.0,90.0,-206.0
